Time,Row,Col,Detected_radius,R_median,G_median,B_median,A_star_median,A_star_reference_mean,A_star_reference_std,A_star_mean_all,A_star_std_dev_all,A_star_scale_factor,A_star_offset,A_star_median_normalized
10,0,8,28,87.0,92.0,143.0,139.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,139.0
10,0,9,28,95.0,100.0,146.0,138.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,138.0
10,1,0,29,91.0,95.0,152.0,142.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
10,1,1,27,84.0,86.0,147.0,144.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,144.0
10,1,2,26,83.0,84.0,145.0,144.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,144.0
10,1,3,29,85.0,86.0,144.0,143.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
10,1,4,26,79.0,81.0,141.0,144.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,144.0
10,1,5,29,80.0,81.0,137.0,142.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
10,1,6,26,78.0,78.0,135.0,143.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
10,1,7,29,79.0,82.0,141.0,143.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
10,1,8,29,86.0,89.0,141.0,140.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,140.0
10,1,9,31,95.0,101.0,147.0,137.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,137.0
10,2,0,29,97.0,103.0,157.0,140.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,140.0
10,2,1,29,95.0,94.0,153.0,143.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
10,2,2,29,94.0,94.0,145.0,141.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,141.0
10,2,3,29,91.0,93.0,150.0,142.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
10,2,4,29,90.0,92.0,148.0,142.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
10,2,5,27,85.0,87.0,142.0,142.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
10,2,6,29,85.0,87.0,140.0,141.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,141.0
10,2,7,28,82.0,85.0,141.0,142.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
10,2,8,28,85.0,89.0,142.0,140.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,140.0
10,2,9,30,95.0,100.0,148.0,138.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,138.0
10,3,0,27,112.0,111.0,178.0,145.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,145.0
10,3,1,28,108.0,109.0,176.0,144.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,144.0
10,3,2,28,107.0,107.0,173.0,145.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,145.0
10,3,3,29,96.0,102.0,167.0,143.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
10,3,4,28,92.0,100.0,166.0,143.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
10,3,5,25,96.0,107.0,170.0,140.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,140.0
10,4,0,27,119.0,120.0,179.0,142.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
10,4,1,26,107.0,103.0,176.0,148.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,148.0
10,4,2,28,107.0,104.0,173.0,146.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,146.0
10,4,3,29,93.0,98.0,159.0,142.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
10,4,4,25,89.0,95.0,160.0,143.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
10,4,5,26,89.0,96.0,162.0,143.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
