Time,Row,Col,Detected_radius,R_median,G_median,B_median,A_star_median
40,1,8,29,107.0,108.0,165.0,142.0
40,1,9,31,113.0,114.0,170.0,141.0
40,2,0,30,126.0,130.0,195.0,142.0
40,2,1,29,121.0,117.0,187.0,146.0
40,2,2,30,121.0,117.0,175.0,143.0
40,2,3,30,114.0,113.0,179.0,145.0
40,2,4,31,111.0,109.0,175.0,145.0
40,2,5,31,108.0,106.0,170.0,144.0
40,2,6,32,106.0,104.0,167.0,144.0
40,2,7,30,104.0,103.0,166.0,144.0
40,2,8,30,108.0,109.0,170.0,143.0
40,2,9,24,110.0,110.0,174.0,144.0
40,3,0,29,216.0,125.0,190.0,172.0
40,3,1,29,216.0,116.0,185.0,176.0
40,3,2,30,213.0,116.0,182.0,174.0
40,3,3,30,119.0,126.0,200.0,144.0
40,3,4,31,119.0,126.0,205.0,145.0
40,3,5,30,129.0,140.0,206.0,140.0
40,4,0,29,227.0,126.0,188.0,175.0
40,4,1,30,222.0,114.0,185.0,179.0
40,4,2,36,131.0,136.0,207.0,144.0
40,4,3,32,128.0,134.0,211.0,145.0
40,4,4,34,136.0,146.0,212.0,140.0
50,0,0,30,120.0,120.0,184.0,143.0
50,0,1,27,111.0,104.0,175.0,148.0
50,0,2,30,106.0,103.0,167.0,145.0
50,0,3,31,103.0,99.0,162.0,145.0
50,0,4,30,101.0,98.0,163.0,146.0
50,0,5,31,104.0,103.0,161.0,143.0
50,0,6,31,100.0,97.0,157.0,144.0
50,0,7,37,105.0,103.0,159.0,142.0
50,0,8,32,101.0,101.0,155.0,142.0
50,0,9,34,115.0,118.0,168.0,139.0
50,1,0,31,117.0,119.0,183.0,143.0
50,1,1,33,108.0,105.0,174.0,146.0
50,1,2,31,104.0,100.0,167.0,146.0
50,1,3,30,102.0,97.0,163.0,146.0
50,1,4,32,102.0,97.0,162.0,146.0
50,1,5,30,99.0,93.0,159.0,147.0
50,1,6,31,97.0,92.0,156.0,146.0
50,1,7,31,92.0,88.0,154.0,147.0
50,1,8,31,99.0,98.0,154.0,142.0
50,1,9,30,104.0,105.0,159.0,141.0
50,2,0,32,125.0,127.0,189.0,142.0
50,2,1,31,120.0,111.0,180.0,148.0
50,2,2,31,119.0,112.0,167.0,143.0
50,2,3,32,112.0,107.0,169.0,145.0
50,2,4,31,110.0,104.0,168.0,146.0
50,2,5,31,107.0,103.0,165.0,145.0
50,2,6,33,106.0,102.0,163.0,144.0
