Time,Row,Column,R_median,G_median,B_median,L_median,A_median,B_lab_median,H_median,S_median,V_median
20,2,5,151.0,143.0,239.0,163.0,153.0,81.0,122.0,102.0,239.0
20,2,6,150.0,161.0,233.0,173.0,141.0,91.0,116.0,90.0,233.0
20,2,7,181.0,198.0,245.0,204.0,132.0,103.0,112.0,66.0,245.0
25,0,1,163.0,181.0,251.0,191.0,138.0,91.0,114.0,90.0,251.0
25,0,2,146.0,161.0,240.0,173.0,141.0,87.0,115.0,100.0,240.0
25,0,3,127.0,122.0,222.0,143.0,154.0,77.0,121.0,115.0,222.0
25,0,4,164.0,186.0,230.0,193.0,129.0,105.0,109.0,73.0,230.0
25,0,5,157.0,163.0,246.0,177.0,144.0,86.0,118.0,93.0,246.0
25,0,6,138.0,142.0,236.0,159.0,150.0,79.0,119.0,106.0,236.0
25,0,7,182.0,200.0,242.0,205.0,131.0,105.0,111.0,64.0,242.0
25,1,1,191.0,210.0,245.0,214.0,129.0,109.0,110.0,56.0,245.0
25,1,2,156.0,160.0,244.0,175.0,145.0,87.0,119.0,91.0,244.0
25,1,3,154.0,157.0,241.0,172.0,146.0,86.0,119.0,93.0,241.0
25,1,4,149.0,159.0,242.0,173.0,144.0,86.0,117.0,97.0,242.0
25,1,5,189.0,197.0,249.0,205.0,134.0,105.0,115.0,60.0,249.0
25,1,6,188.0,204.0,246.0,210.0,131.0,108.0,112.0,59.0,246.0
25,1,7,150.0,150.0,238.0,167.0,148.0,84.0,120.0,97.0,238.0
25,2,1,208.0,229.0,249.0,230.0,125.0,115.0,105.0,43.0,249.0
25,2,2,179.0,192.0,251.0,200.0,136.0,99.0,115.0,72.0,251.0
25,2,3,197.0,215.0,244.0,218.0,128.0,112.0,108.0,49.0,244.0
25,2,4,178.0,194.0,250.0,202.0,134.0,99.0,113.0,73.0,250.0
25,2,5,161.0,161.0,252.0,178.0,149.0,82.0,120.0,95.0,252.0
25,2,6,164.0,170.0,246.0,183.0,143.0,90.0,118.0,83.0,246.0
25,2,7,193.0,209.0,250.0,214.0,131.0,107.0,112.0,56.0,250.0
