Time,Row,Column,Ring,A_median,L_median
15,0,6,2,140.0,189.0
15,0,6,3,140.0,188.0
15,0,6,4,139.0,187.0
15,0,7,0,132.0,194.0
15,0,7,1,132.0,194.0
15,0,7,2,133.0,190.0
15,0,7,3,134.0,186.5
15,0,7,4,133.0,185.0
15,1,1,0,134.0,213.0
15,1,1,1,133.0,216.0
15,1,1,2,134.0,214.0
15,1,1,3,133.0,215.0
15,1,1,4,133.0,210.0
15,1,2,0,139.0,147.0
15,1,2,1,138.0,154.5
15,1,2,2,137.0,159.0
15,1,2,3,136.0,162.5
15,1,2,4,134.0,163.0
15,1,3,0,126.0,224.0
15,1,3,1,126.0,230.0
15,1,3,2,127.0,229.0
15,1,3,3,128.0,221.0
15,1,3,4,129.0,221.0
15,1,4,0,137.0,182.0
15,1,4,1,136.0,182.0
15,1,4,2,136.0,182.0
15,1,4,3,137.0,181.0
15,1,4,4,136.0,181.0
15,1,5,0,150.0,166.0
15,1,5,1,149.0,168.0
15,1,5,2,149.0,169.0
15,1,5,3,149.0,172.0
15,1,5,4,146.0,170.0
15,1,6,0,151.0,162.0
15,1,6,1,151.0,163.0
15,1,6,2,149.5,164.0
15,1,6,3,148.0,169.0
15,1,6,4,146.0,170.0
15,1,7,0,138.0,174.0
15,1,7,1,138.0,173.0
15,1,7,2,138.0,167.0
15,1,7,3,138.0,167.0
15,1,7,4,137.0,169.0
15,2,1,0,131.0,220.0
15,2,1,1,131.0,215.0
15,2,1,2,131.0,217.0
15,2,1,3,132.0,218.0
15,2,1,4,132.0,218.0
15,2,2,0,134.0,160.0
15,2,2,1,135.0,151.5
15,2,2,2,134.0,160.5
15,2,2,3,132.0,155.0
15,2,2,4,132.0,130.0
15,2,3,0,130.0,214.0
15,2,3,1,130.0,211.0
15,2,3,2,130.0,216.0
15,2,3,3,130.0,216.0
15,2,3,4,130.0,209.0
15,2,4,0,133.0,211.0
15,2,4,1,135.0,197.0
15,2,4,2,134.0,197.0
15,2,4,3,134.0,197.0
15,2,4,4,134.0,196.0
15,2,5,0,145.0,183.0
15,2,5,1,146.0,185.0
15,2,5,2,146.0,183.0
15,2,5,3,143.0,190.0
15,2,5,4,141.0,192.0
15,2,6,0,146.0,180.0
15,2,6,1,145.0,180.0
15,2,6,2,145.0,181.0
15,2,6,3,144.0,180.0
15,2,6,4,143.0,181.0
15,2,7,0,135.0,183.0
15,2,7,1,135.0,181.0
15,2,7,2,136.0,181.0
15,2,7,3,136.0,181.0
15,2,7,4,135.0,184.0
20,0,1,0,131.0,193.0
20,0,1,1,130.0,199.0
20,0,1,2,130.0,204.0
20,0,1,3,130.0,207.0
20,0,1,4,130.0,202.0
20,0,2,0,130.0,205.0
20,0,2,1,130.0,209.0
20,0,2,2,130.0,207.0
20,0,2,3,130.0,206.0
20,0,2,4,130.0,206.0
20,0,3,0,153.0,156.0
20,0,3,1,153.0,160.0
20,0,3,2,154.0,155.0
20,0,3,3,154.0,152.0
20,0,3,4,153.0,156.0
20,0,4,0,149.0,157.0
20,0,4,1,147.0,158.0
20,0,4,2,147.0,160.0
20,0,4,3,147.0,159.0
20,0,4,4,147.0,159.5
20,0,5,0,144.0,163.0
20,0,5,1,144.0,163.0
20,0,5,2,143.0,164.0
20,0,5,3,143.0,164.0
20,0,5,4,142.0,166.0
20,0,6,0,143.0,187.0
20,0,6,1,142.0,190.0
20,0,6,2,142.0,191.0
20,0,6,3,141.0,190.0
20,0,6,4,141.0,189.0
20,0,7,0,132.0,208.0
20,0,7,1,132.0,210.0
20,0,7,2,132.0,199.0
20,0,7,3,133.0,194.0
20,0,7,4,132.0,203.0
20,1,1,0,127.0,226.0
20,1,1,1,126.0,222.0
20,1,1,2,127.0,231.0
20,1,1,3,127.0,226.0
20,1,1,4,127.0,227.0
20,1,2,0,128.0,225.0
20,1,2,1,128.0,222.0
20,1,2,2,128.0,225.0
20,1,2,3,127.0,227.0
20,1,2,4,127.0,226.0
20,1,3,0,134.0,212.0
20,1,3,1,133.0,220.0
20,1,3,2,133.0,219.0
20,1,3,3,133.0,221.0
20,1,3,4,133.0,220.0
20,1,4,0,126.0,231.0
20,1,4,1,125.0,236.0
20,1,4,2,126.0,233.0
20,1,4,3,126.0,228.0
20,1,4,4,127.0,229.0
20,1,5,0,137.0,190.0
20,1,5,1,137.0,191.0
20,1,5,2,137.0,192.0
20,1,5,3,137.0,190.0
20,1,5,4,137.0,190.0
20,1,6,0,154.0,160.0
20,1,6,1,154.0,159.0
20,1,6,2,154.0,161.0
20,1,6,3,153.0,163.0
20,1,6,4,152.0,168.0
20,1,7,0,142.0,172.0
20,1,7,1,142.0,172.0
20,1,7,2,141.0,170.0
20,1,7,3,141.0,172.0
20,1,7,4,140.0,176.0
20,2,1,0,126.0,238.0
20,2,1,1,126.0,240.0
20,2,1,2,125.0,240.0
20,2,1,3,126.0,233.0
20,2,1,4,127.0,226.0
20,2,2,0,126.0,236.0
20,2,2,1,126.0,237.0
20,2,2,2,126.0,231.0
20,2,2,3,126.0,233.0
20,2,2,4,126.0,232.0
20,2,3,0,132.0,215.0
20,2,3,1,131.0,222.0
20,2,3,2,131.0,223.0
20,2,3,3,129.0,226.0
20,2,3,4,130.0,224.0
20,2,4,0,127.0,230.0
20,2,4,1,127.0,233.0
20,2,4,2,128.0,226.0
20,2,4,3,129.0,218.0
20,2,4,4,129.0,218.0
20,2,5,0,135.0,204.0
20,2,5,1,135.0,199.0
20,2,5,2,134.0,210.0
20,2,5,3,133.0,213.0
20,2,5,4,133.0,217.0
20,2,6,0,148.0,180.0
20,2,6,1,148.0,180.0
20,2,6,2,147.0,186.0
20,2,6,3,146.0,184.0
20,2,6,4,145.0,185.0
20,2,7,0,138.0,190.0
20,2,7,1,138.0,187.0
20,2,7,2,138.0,187.0
20,2,7,3,138.0,189.0
20,2,7,4,138.0,189.0
25,0,1,0,128.0,95.0
25,0,1,1,128.0,98.0
25,0,1,2,129.0,95.0
25,0,1,3,129.0,94.0
25,0,1,4,129.0,95.0
25,0,2,0,159.0,158.0
25,0,2,1,157.0,156.0
25,0,2,2,157.0,153.0
25,0,2,3,144.0,180.0
25,0,2,4,133.0,205.0
25,0,3,0,129.0,100.0
25,0,3,1,128.0,92.0
25,0,3,2,129.0,89.0
25,0,3,3,129.0,93.0
25,0,3,4,129.0,98.0
25,0,4,0,152.0,161.0
25,0,4,1,152.0,168.0
25,0,4,2,149.0,170.0
25,0,4,3,144.0,177.0
25,0,4,4,138.0,176.0
25,0,5,0,149.0,165.0
25,0,5,1,149.0,164.5
25,0,5,2,145.0,172.0
25,0,5,3,137.0,173.0
25,0,5,4,134.0,167.0
25,0,6,0,139.0,200.0
25,0,6,1,138.0,202.0
25,0,6,2,137.0,204.0
25,0,6,3,134.0,210.0
25,0,6,4,131.0,207.0
25,0,7,0,128.0,239.0
25,0,7,1,128.0,231.0
25,0,7,2,130.0,221.0
25,0,7,3,131.0,210.0
25,0,7,4,132.0,193.0
25,1,1,0,128.0,101.0
25,1,1,1,128.0,125.0
25,1,1,2,128.0,112.0
25,1,1,3,128.0,109.0
25,1,1,4,128.0,109.0
25,1,2,0,138.0,200.0
25,1,2,1,139.0,195.0
25,1,2,2,137.0,195.0
25,1,2,3,134.0,206.0
25,1,2,4,132.0,197.0
25,1,3,0,129.0,112.0
25,1,3,1,129.0,113.0
25,1,3,2,129.0,114.0
25,1,3,3,129.0,113.0
25,1,3,4,128.0,124.0
25,1,4,0,127.0,226.0
25,1,4,1,125.5,227.0
25,1,4,2,126.0,226.0
25,1,4,3,129.0,210.0
25,1,4,4,132.0,179.0
25,1,5,0,136.0,202.0
25,1,5,1,136.0,202.0
25,1,5,2,135.0,198.0
25,1,5,3,134.0,196.0
25,1,5,4,132.0,167.5
25,1,6,0,157.0,161.0
25,1,6,1,156.0,166.0
25,1,6,2,154.0,171.0
25,1,6,3,149.0,179.0
25,1,6,4,137.0,187.0
25,1,7,0,149.0,171.0
25,1,7,1,147.0,176.0
25,1,7,2,146.0,177.0
25,1,7,3,143.0,181.0
25,1,7,4,137.0,186.0
25,2,1,0,128.0,129.5
25,2,1,1,127.0,135.0
25,2,1,2,127.0,133.0
25,2,1,3,128.0,135.0
25,2,1,4,128.0,136.5
25,2,2,0,128.0,136.0
25,2,2,1,128.0,137.0
25,2,2,2,128.0,141.0
25,2,2,3,128.0,140.0
25,2,2,4,128.0,138.0
25,2,3,0,128.0,135.5
25,2,3,1,128.0,140.5
25,2,3,2,128.0,144.0
25,2,3,3,128.0,141.0
25,2,3,4,128.0,141.0
25,2,4,0,128.0,140.5
25,2,4,1,128.0,144.5
25,2,4,2,128.0,146.0
25,2,4,3,128.0,147.0
25,2,4,4,128.0,141.0
25,2,5,0,128.0,141.0
25,2,5,1,128.0,142.0
25,2,5,2,128.0,143.0
25,2,5,3,128.0,143.0
25,2,5,4,128.0,142.0
25,2,6,0,128.0,144.0
25,2,6,1,128.0,142.0
25,2,6,2,128.0,145.0
25,2,6,3,128.0,143.0
25,2,6,4,128.0,142.0
25,2,7,0,128.0,135.0
25,2,7,1,128.0,138.5
25,2,7,2,128.0,138.0
25,2,7,3,128.0,135.0
25,2,7,4,128.0,133.0
