Time,Row,Col,R_median,G_median,B_median,A_star_median,source_mean,source_std,safe_source_std,A_star_median_normalized
5,0,5,90.0,100.0,152.0,138.0,137.9,1.1357816691600546,1.1357816691600546,139.34515400297224
5,0,6,97.0,109.0,158.0,136.0,137.9,1.1357816691600546,1.1357816691600546,137.2420739435275
5,0,7,86.0,96.0,146.0,137.0,137.9,1.1357816691600546,1.1357816691600546,138.29361397324988
5,0,8,89.0,98.0,149.0,138.0,137.9,1.1357816691600546,1.1357816691600546,139.34515400297224
5,0,9,88.0,99.0,149.0,137.0,137.9,1.1357816691600546,1.1357816691600546,138.29361397324988
5,1,0,91.0,87.0,148.0,145.0,137.9,1.1357816691600546,1.1357816691600546,146.70593421102882
5,1,1,92.0,89.0,147.0,144.0,137.9,1.1357816691600546,1.1357816691600546,145.65439418130646
5,1,2,89.0,80.0,143.0,148.0,137.9,1.1357816691600546,1.1357816691600546,149.86055430019593
5,1,3,100.0,91.0,151.0,146.0,137.9,1.1357816691600546,1.1357816691600546,147.7574742407512
5,1,4,98.0,95.0,151.0,143.0,137.9,1.1357816691600546,1.1357816691600546,144.6028541515841
5,1,5,97.0,96.0,151.0,142.0,137.9,1.1357816691600546,1.1357816691600546,143.5513141218617
5,1,6,100.0,99.0,154.0,142.0,137.9,1.1357816691600546,1.1357816691600546,143.5513141218617
5,1,7,97.0,93.0,154.0,145.0,137.9,1.1357816691600546,1.1357816691600546,146.70593421102882
5,1,8,92.0,91.0,149.0,143.0,137.9,1.1357816691600546,1.1357816691600546,144.6028541515841
5,1,9,92.0,94.0,146.0,141.0,137.9,1.1357816691600546,1.1357816691600546,142.49977409213935
10,0,0,117.0,126.0,195.0,142.0,139.8,1.5362291495737217,1.5362291495737217,140.95035926447028
10,0,1,122.0,135.0,200.0,140.0,139.8,1.5362291495737217,1.5362291495737217,139.39548720586095
10,0,2,120.0,128.0,198.0,143.0,139.8,1.5362291495737217,1.5362291495737217,141.72779529377496
10,0,3,118.0,132.0,198.0,140.0,139.8,1.5362291495737217,1.5362291495737217,139.39548720586095
10,0,4,124.0,139.0,202.0,138.0,139.8,1.5362291495737217,1.5362291495737217,137.84061514725158
10,0,5,124.0,138.0,203.0,139.0,139.8,1.5362291495737217,1.5362291495737217,138.61805117655626
10,0,6,128.0,143.0,206.0,138.0,139.8,1.5362291495737217,1.5362291495737217,137.84061514725158
10,0,7,119.0,134.0,198.0,139.0,139.8,1.5362291495737217,1.5362291495737217,138.61805117655626
10,0,8,121.0,135.0,200.0,139.0,139.8,1.5362291495737217,1.5362291495737217,138.61805117655626
10,0,9,121.0,134.0,200.0,140.0,139.8,1.5362291495737217,1.5362291495737217,139.39548720586095
10,1,0,134.0,117.0,191.0,151.0,139.8,1.5362291495737217,1.5362291495737217,147.94728352821232
10,1,1,135.0,119.0,188.0,150.0,139.8,1.5362291495737217,1.5362291495737217,147.16984749890764
10,1,2,144.0,120.0,191.0,152.0,139.8,1.5362291495737217,1.5362291495737217,148.724719557517
10,1,3,130.0,108.0,183.0,153.0,139.8,1.5362291495737217,1.5362291495737217,149.50215558682166
10,1,4,141.0,125.0,195.0,149.0,139.8,1.5362291495737217,1.5362291495737217,146.392411469603
10,1,5,138.0,121.0,196.0,151.0,139.8,1.5362291495737217,1.5362291495737217,147.94728352821232
10,1,6,139.0,122.0,192.0,150.0,139.8,1.5362291495737217,1.5362291495737217,147.16984749890764
10,1,7,146.0,130.0,199.0,149.0,139.8,1.5362291495737217,1.5362291495737217,146.392411469603
10,1,8,134.0,123.0,189.0,147.0,139.8,1.5362291495737217,1.5362291495737217,144.83753941099363
10,1,9,134.0,121.0,194.0,150.0,139.8,1.5362291495737217,1.5362291495737217,147.16984749890764
20,0,0,89.0,102.0,159.0,139.0,137.9,1.3,1.3,140.25057836858565
20,0,1,93.0,106.0,159.0,137.0,137.9,1.3,1.3,138.4131631529754
20,0,2,91.0,98.0,154.0,140.0,137.9,1.3,1.3,141.1692859763908
20,0,3,91.0,98.0,154.0,140.0,137.9,1.3,1.3,141.1692859763908
20,0,4,99.0,111.0,164.0,137.0,137.9,1.3,1.3,138.4131631529754
20,0,5,96.0,109.0,162.0,137.0,137.9,1.3,1.3,138.4131631529754
20,0,6,92.0,105.0,158.0,137.0,137.9,1.3,1.3,138.4131631529754
20,0,7,102.0,115.0,167.0,136.0,137.9,1.3,1.3,137.49445554517024
20,0,8,94.0,107.0,162.0,138.0,137.9,1.3,1.3,139.33187076078053
20,0,9,95.0,107.0,163.0,138.0,137.9,1.3,1.3,139.33187076078053
20,1,0,116.0,87.0,149.0,153.0,137.9,1.3,1.3,153.11248487785767
20,1,1,114.0,88.0,147.0,151.0,137.9,1.3,1.3,151.2750696622474
20,1,2,128.0,93.0,152.0,154.0,137.9,1.3,1.3,154.0311924856628
20,1,3,109.0,78.0,141.0,154.0,137.9,1.3,1.3,154.0311924856628
20,1,4,119.0,95.0,151.0,150.0,137.9,1.3,1.3,150.35636205444226
20,1,5,121.0,93.0,154.0,152.0,137.9,1.3,1.3,152.19377727005252
20,1,6,119.0,94.0,153.0,151.0,137.9,1.3,1.3,151.2750696622474
20,1,7,129.0,102.0,161.0,151.0,137.9,1.3,1.3,151.2750696622474
20,1,8,116.0,91.0,152.0,151.0,137.9,1.3,1.3,151.2750696622474
20,1,9,116.0,96.0,151.0,148.0,137.9,1.3,1.3,148.51894683883197
30,0,0,91.0,95.0,151.0,141.0,139.6,0.9165151389911679,0.9165151389911679,141.06435376686287
30,0,1,89.0,93.0,149.0,141.0,139.6,0.9165151389911679,0.9165151389911679,141.06435376686287
30,0,2,95.0,102.0,156.0,139.0,139.6,0.9165151389911679,0.9165151389911679,138.45813409991595
30,0,3,90.0,98.0,156.0,141.0,139.6,0.9165151389911679,0.9165151389911679,141.06435376686287
30,0,4,96.0,104.0,157.0,139.0,139.6,0.9165151389911679,0.9165151389911679,138.45813409991595
30,0,5,96.0,103.0,156.0,139.0,139.6,0.9165151389911679,0.9165151389911679,138.45813409991595
30,0,6,99.0,107.0,160.0,139.0,139.6,0.9165151389911679,0.9165151389911679,138.45813409991595
30,0,7,90.0,98.0,151.0,139.0,139.6,0.9165151389911679,0.9165151389911679,138.45813409991595
30,0,8,91.0,98.0,152.0,139.0,139.6,0.9165151389911679,0.9165151389911679,138.45813409991595
30,0,9,92.0,99.0,153.0,139.0,139.6,0.9165151389911679,0.9165151389911679,138.45813409991595
30,1,0,126.0,96.0,155.0,152.0,139.6,0.9165151389911679,0.9165151389911679,155.39856193507094
30,1,1,144.0,113.0,164.0,150.0,139.6,0.9165151389911679,0.9165151389911679,152.792342268124
30,1,2,127.0,107.0,156.0,146.0,139.6,0.9165151389911679,0.9165151389911679,147.57990293423018
30,1,3,120.0,101.0,154.0,147.0,139.6,0.9165151389911679,0.9165151389911679,148.88301276770363
30,1,4,117.0,84.0,144.0,154.0,139.6,0.9165151389911679,0.9165151389911679,158.00478160201786
30,1,5,124.0,102.0,151.0,147.0,139.6,0.9165151389911679,0.9165151389911679,148.88301276770363
30,1,6,134.0,106.0,159.0,150.0,139.6,0.9165151389911679,0.9165151389911679,152.792342268124
30,1,7,119.0,97.0,147.0,147.0,139.6,0.9165151389911679,0.9165151389911679,148.88301276770363
30,1,8,129.0,91.0,150.0,155.0,139.6,0.9165151389911679,0.9165151389911679,159.3078914354913
30,1,9,121.0,93.0,150.0,151.0,139.6,0.9165151389911679,0.9165151389911679,154.0954521015975
